Temps,Temps Lisible,Latitude,Longitude,Vitesse,AccelerationX,AccelerationY,AccelerationZ,WiFi SSID,Signal WiFi,Upload Total KB,Download Total KB,Upload Vitesse KB/s,Download Vitesse KB/s,Upload Vitesse Moyenne KB/s,Download Vitesse Moyenne KB/s,Antenne 4G
1743088463160,2025-03-27 16:14:23,49.24216612,4.05951692,4.356000137329102,-0.39661035,4.2421756,10.40818,Non connecté,-100,523002,8502582,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088466169,2025-03-27 16:14:26,49.24216699,4.05953287,5.364000034332276,0.317049,4.322335,4.388138,Non connecté,-100,523003,8502583,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088469183,2025-03-27 16:14:29,49.24217204,4.0595564,3.635999965667725,-0.7040881,5.542076,11.005488,Non connecté,-100,523004,8502584,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088472227,2025-03-27 16:14:32,49.24218213,4.05956451,3.3839999914169314,-0.21684955,3.9619162,7.9337025,Non connecté,-100,523005,8502584,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088475240,2025-03-27 16:14:35,49.2422096,4.05955502,3.528000068664551,1.643271,3.3358939,9.894621,Non connecté,-100,523005,8502585,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088478253,2025-03-27 16:14:38,49.24226403,4.05956899,3.2760000944137575,-1.4353945,11.389537,1.4338989,Non connecté,-100,523006,8502586,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088481285,2025-03-27 16:14:41,49.24228988,4.05956167,3.7439998626708983,0.6963114,10.592427,1.2915261,Non connecté,-100,523007,8502587,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088484298,2025-03-27 16:14:44,49.24232153,4.05955938,3.9600000858306887,0.58624154,9.682557,-3.3149567,Non connecté,-100,523008,8502587,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088487322,2025-03-27 16:14:47,49.24235943,4.05956391,3.779999828338623,0.016450657,12.72204,0.12532409,Non connecté,-100,523009,8502588,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088490366,2025-03-27 16:14:50,49.24239536,4.0595663,3.815999794006348,-1.5876378,12.961322,-0.5820541,Non connecté,-100,523009,8502589,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088493381,2025-03-27 16:14:53,49.24241465,4.05957048,3.815999794006348,3.6640096,6.612266,0.8234301,Non connecté,-100,523010,8502589,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088496393,2025-03-27 16:14:56,49.24246501,4.05956454,3.924000120162964,4.0013976,14.320147,2.292025,Non connecté,-100,523011,8502590,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088499422,2025-03-27 16:14:59,49.24250533,4.0595728,4.139999914169311,0.93589276,10.303793,-4.4760737,Non connecté,-100,523012,8502591,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088502434,2025-03-27 16:15:02,49.24254011,4.05958063,4.1039999485015874,3.7274194,9.48156,1.4650056,Non connecté,-100,523012,8502592,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088505450,2025-03-27 16:15:05,49.24255936,4.05959067,4.175999879837036,-1.5517455,13.787444,-0.7423732,Non connecté,-100,523013,8502592,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088508470,2025-03-27 16:15:08,49.24260675,4.0595986,4.067999982833863,1.3390833,5.259424,-2.547459,Non connecté,-100,523014,8502593,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088511498,2025-03-27 16:15:11,49.24262829,4.05957692,4.032000017166138,0.3912265,12.745968,-3.8739798,Non connecté,-100,523015,8502594,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088514522,2025-03-27 16:15:14,49.2426653,4.05956498,4.067999982833863,2.0240288,7.071987,-1.3707882,Non connecté,-100,523016,8502595,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088517577,2025-03-27 16:15:17,49.24270408,4.05952578,4.1039999485015874,-0.37986058,15.242879,0.5910272,Non connecté,-100,523016,8502595,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088520595,2025-03-27 16:15:20,49.24271606,4.05949588,4.175999879837036,-2.2698913,14.220545,-1.3277174,Non connecté,-100,523018,8502597,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088523617,2025-03-27 16:15:23,49.24273747,4.05944859,4.320000171661377,-0.48753762,6.6361947,-1.855634,Non connecté,-100,523019,8502598,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088526632,2025-03-27 16:15:26,49.24275293,4.05941621,4.57199993133545,2.4969103,10.785049,3.152843,Non connecté,-100,523020,8502598,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088529652,2025-03-27 16:15:29,49.24276895,4.05935513,4.428000068664551,-1.5230316,11.35484,-4.2867417,Non connecté,-100,523021,8502599,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088532712,2025-03-27 16:15:32,49.24279902,4.05926039,4.535999965667725,-1.1422737,8.930911,-3.074179,Non connecté,-100,523022,8502600,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088535729,2025-03-27 16:15:35,49.24281408,4.05921,4.824000120162964,-2.2184458,6.3367925,2.6715865,Non connecté,-100,523022,8502601,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088538770,2025-03-27 16:15:38,49.24282524,4.05916646,5.4,-0.2108675,2.9982069,7.429714,Non connecté,-100,523023,8502601,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088541798,2025-03-27 16:15:41,49.24282524,4.05916646,5.4,-0.63948184,4.883751,9.549755,Non connecté,-100,523024,8502602,0,0,0,0,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088544845,2025-03-27 16:15:44,49.24282524,4.05916646,5.4,-0.63948184,4.883751,9.549755,Non connecté,-100,523053,8502717,9,37,0,1,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088547876,2025-03-27 16:15:47,49.24282524,4.05916646,5.4,-0.63948184,4.883751,9.549755,Non connecté,-100,523061,8502728,2,3,0,1,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088550899,2025-03-27 16:15:50,49.24282524,4.05916646,5.4,-0.63948184,4.883751,9.549755,Non connecté,-100,523062,8502728,0,0,0,1,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088553926,2025-03-27 16:15:53,49.24282524,4.05916646,5.4,0.017647067,5.174479,10.459626,Non connecté,-100,523063,8502729,0,0,0,1,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088556959,2025-03-27 16:15:56,49.24283608,4.05880743,0.0,0.87607217,1.643271,8.185248,Non connecté,-100,523063,8502730,0,0,0,1,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088559971,2025-03-27 16:15:59,49.24287707,4.05872843,5.688000154495239,-0.651446,5.3674,11.907882,Non connecté,-100,523064,8502730,0,0,0,1,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088563004,2025-03-27 16:16:03,49.24287707,4.05872843,5.688000154495239,-0.651446,5.3674,11.907882,Non connecté,-100,523066,8502732,0,0,0,1,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088566042,2025-03-27 16:16:06,49.24287707,4.05872843,5.688000154495239,-0.651446,5.3674,11.907882,Non connecté,-100,523067,8502732,0,0,0,1,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088569079,2025-03-27 16:16:09,49.24287707,4.05872843,5.688000154495239,-0.651446,5.3674,11.907882,Non connecté,-100,523068,8502733,0,0,0,1,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088572116,2025-03-27 16:16:12,49.24287707,4.05872843,5.688000154495239,-0.651446,5.3674,11.907882,Non connecté,-100,523069,8502734,0,0,0,1,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
1743088575137,2025-03-27 16:16:15,49.2428751,4.05845688,3.779999828338623,1.474577,3.679563,9.718748,Non connecté,-100,523069,8502734,0,0,0,1,"Antenne: eNbID=402129, CellID=102945087, TAC=5101, Signal=-102 dBm"
